################################ ENVIRONMENT #################################
# Version........: <unkown>
# CWD............: /home/maxelweb/Documenti/gipp_code/gipp-experiments
# Host...........: thinkcentre-fedora
# Python.........: 2.7.18 (default, May 19 2021, 00:00:00)  [GCC 11.1.1 20210428 (Red Hat 11.1.1-1)]
#################################### DATA ####################################
#   GIPP-vs-OMIP-vs-RNLP/EDF
                           5,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1
                          10,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1
                          15,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1
                          20,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1
                          25,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1
                          30,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1
                          35,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1
                          40,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1
                          45,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1
                          50,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1
                          55,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1,                      1-1-1
