################################ ENVIRONMENT #################################
# Version........: <unkown>
# CWD............: /app/gipp-experiments
# Host...........: 1aa1e9770b45
# Python.........: 2.7.18 (default, Apr 20 2020, 19:27:10)  [GCC 8.3.0]
#################################### DATA ####################################
#   GIPP-vs-OMIP-vs-C/OMLP
                         5,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1
                        10,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1
                        15,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1
                        20,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1
                        25,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1
                        30,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1
                        35,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1
                        40,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-0-0,                    1-1-1,                    1-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1
                        45,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1
                        50,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1
                        55,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-0-0,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    0-0-0,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1,                    1-1-1
